airline_sentiment;airline;text
neutral;Delta;@JetBlue's new CEO seeks the right balance to please passengers and Wall ... - Greenfield Daily Reporter http://t.co/LM3opxkxch
negative;Delta;@JetBlue is REALLY getting on my nerves !! 😡😡 #nothappy
negative;United;@united yes. We waited in line for almost an hour to do so. Some passengers just left not wanting to wait past 1am.
negative;United;@united the we got into the gate at IAH on time and have given our seats and closed the flight. If you know people is arriving, have to wait
negative;Southwest;@SouthwestAir its cool that my bags take a bit longer, dont give me baggage blue balls-turn the carousel on, tell me it's coming, then not.
negative;United;@united and don't hope for me having a nicer flight some other time, try to do things right. You sold me those tickets with that connetion
negative;United;@united I like delays less than you because I'm the one on the plane. Connect me with a voucher
negative;United;@united, link to current status of flights/airports? Fly BWI-EWR-MCO this morning yet can't yet tell what any problems are except see snow.
negative;Southwest;@SouthwestAir you guys there? Are we on hour 2 of our phone hold at 3am bc of volume or short staffing?
negative;United;@united I tried 2 DM it would not go thru... not sure why
negative;United;Wanted to get my bag benefit, but instead get $25 pricing on all three tickets. When adding a card, MP Visa is only option. @united
negative;United;@united please see a flight attendant for what? Why isn't there enough room for over head bags? I carry on to save time!!!
negative;United;@united still waiting for a reply
neutral;United;@united even though technically after I land I will be silver?
neutral;US Airways;@USAirways how's us 1797 looking today?
positive;Southwest;@SouthwestAir nice work on the update!
negative;United;@united i have items of sentimental value that I'm heartbroken are missing
negative;Southwest;@SouthwestAir We have been stuck in SJU for several hours and no one is answering here. Really tough to LUV SW. No response is bad.
neutral;Delta;@JetBlue CEO weighs profits, flyers - @ChronicleHerald (registration) http://t.co/l2n0egHdgn
negative;US Airways;@USAirways @AmericanAir How r u supposed to change flights when u can't get thru to reservations? #OneHourOnHold
positive;Delta;@JetBlue Thanks! Her flight leaves at 2 but she's arriving to the airport early. Wedding is in VT in Sept. Grateful you fly to BTV!! :)
negative;United;@United is officially the worst, most delayed, and least helpful airline I have ever had the misfortune of flying on
negative;Southwest;@SouthwestAir won't answer their phones #HorribleService #NeverAgain #frustrated #AnswerThePhone
negative;US Airways;@USAirways reservations had me on hold for 2 hours only to hang up...smh 😕
positive;Delta;@JetBlue No worries. Delay was minor and dealt with nicely. It was captain of flight 2324 by the way.
neutral;Southwest;@SouthwestAir Is it a temporary site glitch or are you no longer offering flights from GRR to GEG after Feb? Can't find any online :(
neutral;United;@united clicked on the link and got this? #confused http://t.co/xMAQcucWZl
neutral;Southwest;@SouthwestAir Guys, we've got to do something about the inability to check in online for international  flight that has... (1/2)
negative;Southwest;@SouthwestAir flight was Cancelled Flightled and it won't let me rebook online. Wait time on phone is too long. Please help
neutral;Delta;@JetBlue really caring??
negative;Southwest;"@SouthwestAir allows other passengers 2 harass u after their gate agents mistakeFURIOUS they are doing NOTHING about it &amp; my 6yo was scared"
negative;Southwest;@SouthwestAir  this is really unhelpful. Why can't I rebook online? http://t.co/N5O43sVl8i
negative;Delta;@JetBlue sitting on the plane in JFK waiting to take off doors are open catering is stocking up we are delayed but they couldn't be nicer
